,SC,GPDM,SSDATE,GPLB
735,0,002271,20080910,深市中小板A股
736,0,002272,20080919,深市中小板A股
737,0,002273,20080919,深市中小板A股
738,0,002274,20080925,深市中小板A股
739,0,002275,20090710,深市中小板A股
740,0,002276,20090710,深市中小板A股
741,0,002277,20090717,深市中小板A股
742,0,002278,20090811,深市中小板A股
743,0,002279,20090811,深市中小板A股
744,0,002280,20090821,深市中小板A股
745,0,002281,20090821,深市中小板A股
746,0,002282,20090821,深市中小板A股
747,0,002283,20090821,深市中小板A股
748,0,002284,20090828,深市中小板A股
749,0,002285,20090828,深市中小板A股
750,0,002286,20090828,深市中小板A股
751,0,002287,20090828,深市中小板A股
752,0,002288,20090903,深市中小板A股
753,0,002289,20090903,深市中小板A股
754,0,002290,20090903,深市中小板A股
755,0,002291,20090903,深市中小板A股
